,Comp,Date,Close,month_ROR,qtr_ROR,year_ROR,Score,Oil,EUR,JPY
91,GOOGL,2016-06-29,695.1900024414062,-0.0546332648415099,-0.0810058021606954,0.2328312026485308,0.818167590405422,50.61,0.9,102.83
92,GOOGL,2016-07-13,729.47998046875,-0.0250437755749137,-0.0580872658504034,0.2596079507743404,0.8181563607796376,46.26,0.9,104.5
93,GOOGL,2016-07-27,761.969970703125,0.0776256261237101,0.0151128852206816,0.1011993486742218,0.827676234962716,43.47,0.9,105.4
94,GOOGL,2016-08-10,808.489990234375,0.1250799508887172,0.1093907142683522,0.1875322001205462,0.8537592432914254,44.05,0.89,101.28
95,GOOGL,2016-08-24,793.5999755859375,0.0572328174120637,0.1027876804476736,0.1733712956340058,0.8674807555903675,49.05,0.89,100.44
96,GOOGL,2016-09-07,807.989990234375,-0.0080263218849903,0.0757701909155264,0.2128644499877505,0.8119041381852574,47.98,0.89,101.73
97,GOOGL,2016-09-21,805.030029296875,-0.0050849537614011,0.1027802713049707,0.1869318687646176,0.8132883649105674,46.83,0.89,100.31
98,GOOGL,2016-10-05,801.22998046875,0.0131820705815374,0.1409957427365142,0.2304163114515363,0.7568531762265525,51.86,0.89,103.5
99,GOOGL,2016-10-19,826.8400268554688,0.022969419560941,0.0938568957087293,0.1698988064309722,0.7655926408326128,52.67,0.91,103.44
100,GOOGL,2016-11-02,788.4199829101562,0.0145782793624685,0.0421032973820539,0.0964288929034268,0.766489130708065,46.86,0.9,103.31
101,GOOGL,2016-11-16,779.97998046875,-0.052111352519768,-0.0299578949038751,0.0352236125265131,0.8514362220554582,46.63,0.94,109.08
102,GOOGL,2016-11-30,775.8800048828125,-0.0483598133742979,-0.0155779698799329,0.0113510130028973,0.8577230228005382,50.47,0.94,114.47
103,GOOGL,2016-12-14,817.8900146484375,0.0132441821643803,0.0124333432419821,0.0447244897008351,0.8684643497708404,53.9,0.95,117.05
104,GOOGL,2016-12-28,804.5700073242188,0.0312987474760324,-0.0030918173300658,0.0493415612649003,0.868317535724269,56.22,0.96,117.25
105,GOOGL,2017-01-11,829.8599853515625,0.0422224303029172,0.0174334004028467,0.0835848551064666,0.8351055550304294,55.1,0.94,115.41
106,GOOGL,2017-01-25,858.4500122070312,0.0248786049216811,0.0131756073624512,0.145251102380945,0.8394050704631442,55.08,0.93,113.28
107,GOOGL,2017-02-08,829.8800048828125,0.005264246279934,0.0303431041206959,0.0893262472859527,0.8168956927931844,55.12,0.93,111.94
108,GOOGL,2017-02-22,851.3599853515625,0.0228084578858568,0.0775918189712151,0.1535121063776185,0.8478862262162798,55.84,0.95,113.3
109,GOOGL,2017-03-08,853.6400146484375,0.0345491073830956,0.0902643482154354,0.1576572451774008,0.8636030872737107,53.11,0.95,114.35
110,GOOGL,2017-03-22,849.7999877929688,0.0196360360176108,0.0581965774630807,0.1290442343907712,0.9224743648203992,50.64,0.93,111.16
111,GOOGL,2017-04-05,848.9099731445312,0.0089927302509915,0.0564240256137299,0.1061390522604892,0.8599407944803469,54.36,0.94,110.7
112,GOOGL,2017-04-19,856.510009765625,-0.0242939220706039,0.0252304366537995,0.090029775055027,0.8655725234802082,52.93,0.93,108.86
113,GOOGL,2017-05-03,948.4500122070312,0.0860058767889818,0.1012002574391027,0.2498423818691121,0.8472356946587856,50.79,0.92,112.75
114,GOOGL,2017-05-17,942.1699829101562,0.1197889020327166,0.128241079227862,0.2685953703607642,0.9295034810937236,52.21,0.9,110.82
115,GOOGL,2017-05-31,987.0900268554688,0.1089393546492438,0.1424542513096186,0.2895397599165357,0.9372186975710696,50.31,0.89,110.78
116,GOOGL,2017-06-14,967.9299926757812,0.0224456055573015,0.1350261691302217,0.2886759453916095,0.8671054966062733,47.0,0.89,109.58
117,GOOGL,2017-06-28,961.010009765625,0.0024214430982319,0.1394453962493272,0.3244789574170884,0.8632491349791278,47.31,0.88,112.3
118,GOOGL,2020-10-07,1459.1400146484375,-0.1259660192093975,0.0001359634140352,0.1982196616008582,0.5634192813284834,41.99,0.85,105.96
119,GOOGL,2020-10-21,1585.989990234375,0.0470691018425238,0.0195860886327726,0.2373655403793968,0.5831914847651065,41.73,0.84,104.56
120,GOOGL,2020-11-04,1745.8499755859375,0.075670515128386,0.069936482443221,0.2302732951325031,0.7101701698133601,41.23,0.85,104.48
121,GOOGL,2020-11-18,1740.6400146484375,0.1181909709209807,0.1457798936581203,0.2954641128740283,0.8411415476607896,44.34,0.84,103.83
122,GOOGL,2020-12-02,1824.969970703125,0.1032750882352481,0.0805663201637624,0.3192224673194975,0.8461864490941112,48.25,0.83,104.4
123,GOOGL,2020-12-16,1757.18994140625,0.0081213403031635,0.1467994902029586,0.2722267749916216,0.8525462754480004,51.08,0.82,103.48
124,GOOGL,2020-12-30,1736.25,-0.0090052405278708,0.1896886038474095,0.2534513548225087,0.8569559918256431,51.34,0.81,103.17
125,GOOGL,2021-01-13,1747.25,-0.0139133096415836,0.1546307877543154,0.2223598766963483,0.8834022847328699,56.06,0.82,103.85
126,GOOGL,2021-01-27,1818.93994140625,0.089100629678028,0.1686483845908115,0.240854298834362,0.8838360592745386,55.81,0.83,104.09
127,GOOGL,2021-02-10,2086.47998046875,0.1681251722491696,0.1806384093234961,0.3429014071856496,0.9559284131023182,61.47,0.83,104.57
128,GOOGL,2021-02-24,2083.81005859375,0.1197291837844038,0.1779548644360189,0.3415611734612686,0.9532731380987628,67.04,0.82,105.86
129,GOOGL,2021-03-10,2036.18994140625,-0.0180162242862499,0.1180065388855044,0.4494434064621734,0.9246337525172184,67.9,0.84,108.38
130,GOOGL,2021-03-24,2032.530029296875,-0.0223244777600614,0.165653687728997,0.6173891311066364,0.92830805990371,64.41,0.85,108.72
131,GOOGL,2021-04-07,2239.030029296875,0.0425659183552723,0.2218011485915334,0.6238587108721259,0.9463072759314388,63.16,0.84,109.84
132,GOOGL,2021-04-21,2278.35009765625,0.1065088728186339,0.2340276445186241,0.5977317310446681,0.9442831242902726,65.32,0.83,108.05
133,GOOGL,2021-05-05,2314.77001953125,0.1103034161935846,0.1718384029202884,0.5763031725828669,0.9340185808883966,68.96,0.83,109.18
134,GOOGL,2021-05-19,2271.5,-0.0057903904161078,0.0704802320526077,0.4968064204927491,0.931902152267372,66.66,0.82,109.21
135,GOOGL,2021-06-02,2370.590087890625,0.019967229454682,0.1472201670779271,0.5071752333763724,0.9321137690483198,71.35,0.82,109.54
136,GOOGL,2021-06-16,2415.449951171875,0.0670100019938864,0.1610437135394101,0.5226158875001227,0.9384229942113348,74.39,0.83,110.69
137,GOOGL,2021-06-30,2441.7900390625,0.0374406594862189,0.1800804211918845,0.536477346973725,0.9436349058016656,75.13,0.84,111.1
138,GOOGL,2021-07-14,2564.739990234375,0.045320989147951,0.1179606315173526,0.5169037519844139,0.9450750393344118,74.76,0.84,109.99
139,GOOGL,2021-07-28,2721.8798828125,0.0712375801734824,0.1371336064753937,0.5380675180608325,0.9268562985975926,74.74,0.84,109.9
140,GOOGL,2021-08-11,2725.580078125,0.0799170036442214,0.1662545107832629,0.6042311736568798,0.9178902945243692,71.44,0.85,110.4
141,GOOGL,2021-08-25,2841.580078125,0.0740039868857531,0.1794166862361377,0.564551429129013,0.9186861272893688,72.25,0.85,109.99
142,GOOGL,2021-09-08,2873.820068359375,0.0593625888277091,0.191003083951873,0.5691584895862927,0.9194093742611618,72.6,0.85,110.23
143,GOOGL,2021-09-22,2805.669921875,0.0255945112422966,0.1522648002178319,0.6461040950777267,0.9182130490358112,76.19,0.86,109.78
144,GOOGL,2021-10-06,2751.300048828125,-0.0704028070294854,0.0950441163628681,0.6121875264064703,0.9296328716002352,81.08,0.87,111.41
145,GOOGL,2021-10-20,2835.3798828125,-0.0108624325477735,0.1072523912571151,0.5963881992546662,0.9294295625399458,85.82,0.86,114.26
146,GOOGL,2021-11-03,2931.9599609375,0.0634289182036471,0.0824123648774933,0.6129247845819082,0.9229084708623408,81.99,0.86,113.98
147,GOOGL,2021-11-17,2960.93994140625,0.0609594124626057,0.0717794900580859,0.5189668701009873,0.919571106277123,80.28,0.88,114.07
148,GOOGL,2021-12-01,2821.030029296875,-0.0046340845243751,-0.0023957517747471,0.4792431400016732,0.9125885443705082,68.87,0.88,112.75
149,GOOGL,2021-12-15,2928.820068359375,-0.0034022076551823,0.0259817714000321,0.5040358453745376,0.9152222896665776,73.88,0.89,114.02
150,GOOGL,2021-12-29,2933.10009765625,0.0054071286570289,0.0588337651380904,0.5194492361302679,0.9143097419022485,79.23,0.88,114.94
151,GOOGL,2022-01-12,2828.610107421875,-0.0585979776198287,0.0079789623565163,0.4631294426023082,0.9099367479075264,84.67,0.87,114.63
152,GOOGL,2022-01-26,2584.659912109375,-0.0781529136267594,-0.0718660191533832,0.3370864306803726,0.9097937271112956,88.74,0.89,114.63
153,GOOGL,2022-02-09,2831.840087890625,-0.0016932212939119,-0.0316220429201378,0.3394854452633562,0.9087901317934868,91.55,0.88,115.49
154,JOUT,2018-02-07,64.72760772705078,0.1307303497760193,-0.1028103997761898,0.6750576449531864,0.6656463479147718,65.51,0.82,109.33
155,JOUT,2018-02-21,61.31933975219727,0.0461511935200259,-0.0838181691095152,0.6574073101131959,0.6669016262721709,65.42,0.81,107.78
156,JOUT,2018-03-07,64.36172485351562,-0.0456080746767272,-0.1255854140043084,0.5967820995319159,0.6779304353446319,64.34,0.81,106.08
157,JOUT,2018-03-21,63.74553680419922,0.0217330296149724,0.0424012685504633,0.612048141174494,0.6796735672570131,69.47,0.81,106.06
158,JOUT,2018-04-04,61.63706970214844,-0.0039492050993088,-0.0005106984137964,0.5795950250056104,0.7077093699063444,68.02,0.81,106.78
